word,meaning
가족력,"앓은 병, 유전병, 사망 원인 등 질병에 대한 한 가족의 의학적 특성."
가족사진,가족들이 함께 찍은 사진.
가족원,가족을 이루는 사람.
가족적,가족처럼 가깝고 친한 것.
가죽옷,가죽으로 만든 옷.
가죽점퍼,가죽으로 만든 점퍼.
가중치,비중이 다른 항목의 평균값을 낼 때 개별 항목에 알맞은 중요도를 반영하기 위해 더하는 일정한 비율의 수치.
가지가지,여러 가지.
가지각색,모양이나 성질 등이 서로 다른 여러 가지.
가지치기,식물이 잘 자라게 하고 열매가 많이 나게 하거나 모양을 좋게 하기 위해 가지를 자르고 다듬는 일.
가짓수,종류의 개수.
가타부타,"옳거나 그르다고, 또는 좋거나 싫다고 함."
가톨릭,천주교나 천주교도.
가톨릭교,그리스도의 정통 가르침을 믿는 종교.
가학적,심하고 잔인하게 괴롭히는 것.
가해자,다른 사람에게 해를 준 사람.
각가지,여러 가지.
각계각층,사회의 여러 활동 분야와 계층.
각골난망,뼈에 새길 만큼 큰 은혜를 입어 잊지 못함.
각기둥,밑면이 평행한 두 개의 동일한 다각형이고 옆면은 세 개 이상의 사각형으로 된 다면체.
각선미,다리의 곡선에서 느껴지는 아름다움.
각성제,신경을 자극시켜 잠이 오지 않게 하고 피로를 느끼지 못하게 하는 약.
각양각색,여러 가지의 모양과 색깔.
각축전,서로 이기려고 맞서거나 싸움.
간담회,친근하게 서로 의견을 나누는 모임.
간막이,→ 칸막이
간석지,바닷물이 빠졌을 때에 드러나는 넓은 진흙 벌판.
간선제,‘간접 선거 제도’를 줄여 이르는 말.
간소화,간단하고 소박하게 됨. 또는 그렇게 되게 함.
간식거리,끼니 외에 간단히 먹을 만한 음식.
간음죄,"법률에서, 부정한 성관계를 함으로써 성립하는 죄."
간지럼,무엇이 몸에 닿거나 누가 건드려서 간지러운 느낌.
간편식,조리 과정이 없거나 간단하여 편리하게 먹을 수 있는 음식.
간편화,간단하고 편리해짐. 또는 그렇게 되게 함.
간행물,"책, 신문, 그림 등 인쇄되어 세상에 나온 것."
간행사,인쇄물을 간행한 의의와 목적 등에 관해 쓴 짧은 글.
간헐적,일정한 시간 간격을 두고 되풀이하는 것.
갈고리,"무엇을 걸거나 잡아당기는 데 쓰는, 끝이 뾰족하고 꼬부라진 도구."
갈대밭,갈대가 많이 나 있는 곳.
갈대숲,갈대가 많이 나 있는 숲.
갈림길,여러 갈래로 갈라진 길. 또는 길이 갈라지는 곳.
갈매기,"배는 흰색이고 날개와 등은 회색이며 물고기를 잡아 먹는, 바닷가에 사는 물새."
갈바람,가을에 부는 선선하고 서늘한 바람.
갈비탕,소의 갈비를 잘라 넣고 오랫동안 끓인 국.
감각적,감각에 관계되거나 예민한 것.
감기약,감기를 치료하는 데 쓰는 약.
감독관,일이나 사람이 잘못되지 않도록 살피고 단속하는 사람.
감별력,어떠한 것을 잘 살펴보아 그것의 가치나 진위를 구별해 내는 능력.
감사원,국가의 세금 사용과 공무원의 직무를 감독하고 조사하는 정부 기관.
감상문,어떤 물건이나 현상을 보거나 듣고 나서 느낀 것을 쓴 글.
감상법,예술 작품이나 아름다운 대상을 즐기고 이해하고 평가하는 방법.
감상자,예술 작품의 아름다움을 이해하고 즐기며 평가하는 사람.
감상적,작은 일에도 쉽게 슬퍼하거나 감동하는 것. 또는 그런 감정을 불러일으키는 것.
감상주의,"문학에서, 슬픔이나 불쌍하게 여기는 감정을 작품의 본질로 드러내는 경향."
감성적,감성이 예민하거나 풍부한 것.
감소세,점점 적어지는 흐름이나 경향.
감소율,줄어드는 비율.
감수성,외부의 자극을 느끼는 성질이나 심리적인 능력.
감시망,주의 깊게 지켜보며 사람을 단속하거나 상황을 통제하기 위해 만든 조직이나 체계.
감시병,"적이나 포로, 죄수 등을 주의 깊게 지켜보며 단속하는 병사."
감시자,사람을 단속하거나 상황을 통제하기 위해 일정한 곳을 주의 깊게 지켜보는 사람.
감시탑,특정한 지역이나 대상을 통제하기 위해 이를 지켜볼 수 있도록 높이 세운 탑.
감식초,감으로 만든 식초.
감언이설,남을 속이기 위해 남의 비위를 맞추거나 상황이 이로운 것처럼 꾸민 말.
감염병,병원체가 인간이나 동물의 몸 안에서 증식하여 다수에게 전파되는 질병.
감옥살이,감옥에 갇혀 사는 생활을 함.
감옥살이,(비유적으로) 행동에 제한이 있어 자유롭지 못한 생활.
감옥소,(속된 말로) 감옥.
감정가,"그림이나 글씨, 골동품의 가치를 평가하고 진짜인지 가짜인지를 판단하는 사람."
감정적,감정에 의한 것.
감지기,"소리, 빛, 온도 등의 발생이나 변화를 알아내는 기계 장치."
감칠맛,맛있는 음식을 먹고 난 뒤에 입에 남는 아주 좋은 느낌.
감칠맛,감동을 주어 사람의 마음을 끌어당기는 힘.
감탄문,말하는 사람이 듣는 사람을 별로 의식하지 않고 자기의 느낌을 비교적 강하게 표현하는 문장.
감탄조,크게 느끼어 마음으로 따를 듯한 말투.
감탄형,감탄의 뜻을 나타내는 용언 및 서술격 조사 ‘이다’의 활용형.
