word,meaning
몰이꾼,짐승이나 물고기를 잡기 위해 빠져나갈 수 없는 곳으로 몰아넣는 사람.
몸살감기,몸이 몹시 피로해서 생기는 감기.
몸살기,몸이 몹시 피로해서 병이 날 것 같은 기운.
몸싸움,서로 몸을 부딪치거나 때리면서 싸우는 일.
몸조리,약해진 몸의 기력을 되찾기 위해 쉬면서 몸을 보살피고 돌보는 일.
몸조심,건강을 해치지 않도록 몸을 조심해서 돌봄.
몸조심,실수하지 않도록 말이나 행동을 삼감.
몸차림,"옷, 화장, 액세서리 등으로 몸을 보기 좋게 꾸밈."
몸치장,"옷, 화장, 액세서리 등으로 몸을 보기 좋게 꾸밈."
못난이,못생겼거나 어리석은 사람.
몽고반점,"갓난아이의 엉덩이, 등, 허리 등에 있는 멍처럼 퍼런 점."
몽둥이,주로 사람이나 동물을 때릴 때 사용하는 굵은 막대기.
몽유병,"의학에서, 잠을 자는 도중에 일정 시간 동안 깨어 있는 사람처럼 행동하고 다음 날 전혀 기억하지 못하는 병."
몽타주,범죄 수사에서 목격자들의 증언을 바탕으로 범인의 특징을 잡아 그린 얼굴 사진.
몽환적,꿈이나 환상과 같이 현실적이지 못한 것.
묘비명,묘비에 죽은 사람의 이름과 경력 등을 새긴 글.
묘사력,어떤 대상을 있는 그대로 자세하게 말이나 글로 표현하거나 그림으로 그리는 능력.
묘자리,→ 묏자리
무감각,아무런 감정이나 느낌이 없음.
무감동,아무런 감동이 없음.
무게감,물건의 무거운 느낌.
무게감,사물 등이 가치가 있고 중요한 느낌.
무게감,책임이나 분위기 등이 부담스러운 느낌.
무게감,행동이나 성질이 듬직하고 의젓한 느낌.
무계획,일을 어떻게 할 것인지 미리 제대로 생각하지 않고 되는대로 일을 함.
무계획성,일을 어떻게 할 것인지 미리 제대로 생각하지 않고 되는대로 일을 하는 성향.
무국적,어떤 국가에 소속되지 않은 상태.
무국적,특정 국가의 특징이 없음.
무궁화,"여름부터 가을까지 피며, 흰색, 보라색, 붉은색 등의 꽃잎이 종 모양으로 넓게 피는 꽃."
무기고,"총, 폭탄, 화약 등의 무기를 보관하는 창고."
무기력,어떤 일을 할 수 있는 기운이나 힘이 없음.
무기력증,아무것도 못 하도록 기운이나 힘이 없어지는 증상.
무기명,이름을 밝히지 않음.
무기물,"물, 흙, 공기 등 생명이 없는 물질."
무기정학,특별히 정해진 기간 없이 학교에 나오지 못하도록 하는 처벌.
무기형,죄수를 감옥에 평생 동안 가두어 두는 형벌.
무김치,무로 담근 김치.
무남독녀,남자 형제 없이 혼자인 딸.
무당벌레,작고 둥근 몸과 붉은 바탕에 검은 점 무늬의 단단한 날개를 가진 곤충.
무대극,관객이 있는 무대에서 하는 연극.
무더기,한곳에 수북하게 쌓이거나 뭉쳐 있는 더미.
무더기,한곳에 수북하게 쌓이거나 뭉쳐 있는 더미를 세는 단위.
무더위,견디기 힘들 정도로 찌는 듯한 더위.
무력행사,군사적이거나 육체적인 힘을 사용하여 어떤 일을 함.
무료입장,"극장, 전시장, 운동장 등에 돈을 내지 않고 그냥 들어감."
무르팍,(속된 말로) 무릎.
무릉도원,(비유적으로) 모든 사람들이 꿈꾸는 이상적인 곳.
무리수,(비유적으로) 정도를 지나치게 벗어나는 억지스러운 일.
무말랭이,반찬거리로 쓰기 위해 무를 잘게 썰어서 말린 것.
무면허,면허가 없음.
무명지,다섯 손가락 가운데 넷째 손가락.
무미건조,흥미로운 것이 없이 단조롭고 메마름.
무방비,적이나 위험 등을 막아 낼 준비가 되어 있지 않음.
무법자,법이나 관습을 무시하고 함부로 행동을 하는 사람.
무병장수,병 없이 건강하게 오래 삶.
무보수,어떤 일에 대한 대가가 없음.
무비판,"옳고 그름, 좋고 나쁨을 판단하지 않음."
무비판적,"옳고 그름, 좋고 나쁨을 판단하지 않는 것."
무사고,아무런 사고가 없음.
무사안일,어떤 일이나 문제를 맞닥뜨려 해결하려 하지 않고 피하면서 당장에 큰 문제없이 편하게 지내려고 함.
무사태평,아무런 문제나 걱정거리가 없이 편안함.
무사통과,어떤 단계나 검사 등에서 어려움이나 제한 없이 그냥 통과함.
무상감,시간이 가면서 모든 것이 변하므로 가치나 의미가 없어 허무한 느낌.
무생물,"돌, 흙 등 생명이 없는 물건."
무서리,늦가을에 처음 내리는 묽은 서리.
무선국,무선 통신 업무를 담당하는 기관.
무성의,노력과 정성을 들이지 않음.
무소불능,할 수 없는 일이 없음.
무소불위,하지 못하는 일이 없음.
무소속,어느 단체나 정당에 속하지 않음. 또는 그런 사람.
무소식,소식이나 연락이 없음.
무소유,아무것도 가진 것이 없음.
무쇠솥,무쇠로 만든 솥.
무슬림,이슬람교를 믿는 사람.
무승부,"경기나 내기에서, 어느 한쪽이 이기거나 지지 않고 서로 비김."
무신론,신의 존재를 인정하지 않고 그에 대한 신앙을 거부하는 사상이나 이론.
무실점,"경기나 승부에서, 점수를 잃지 않음."
무심결,아무런 생각이나 의도가 없어 스스로 깨닫지 못하는 사이.
무심중,아무런 생각이나 의도가 없어 스스로 깨닫지 못하는 사이.
무아지경,어떤 것에 정신이 쏠려 자신의 존재를 잊게 되는 경지.
무언극,대사나 음향 효과 등의 소리가 없이 배우의 동작만으로 내용을 전달하는 연극.
무역국,다른 나라와 무역을 하는 나라.
무역상,다른 나라와 무역을 하는 장사. 또는 그런 장사를 하는 사람.
무역업,다른 나라와의 무역을 전문으로 하는 직업.
무용가,무용을 전문적으로 하는 사람.
무용단,무용을 연구하고 공연하는 일을 전문으로 하는 사람들의 단체.
무용론,어떤 것이 쓸모없고 필요 없다는 주장.
무용복,무용을 할 때 입는 옷.
무용수,무용단 등에서 전문적으로 무용을 하는 사람.
무용지물,쓸모없는 사람이나 물건.
무위도식,하는 일 없이 놀고 먹음.
무위자연,사람의 힘을 보태지 않은 그대로의 자연.
무응답,응답이 없음. 또는 응답을 하지 않음.
무의미,아무 뜻이나 가치가 없음.
무의식,자기 스스로 의식하지 못하지만 행동이나 생각 등에 영향을 미치는 정신 영역.
무의식적,자기의 행동이나 상태를 자기 스스로 깨닫지 못하는 가운데 일어나는 것.
무의식중,자기의 행동을 자기 스스로 의식하지 못하는 사이.
무의지,의지가 없음.
무의촌,의사나 의료 시설이 없는 곳.
무의탁,몸이나 마음을 의지하여 맡길 곳이 없는 상태.
무이자,이자가 붙지 않음.
무인기,전자 장치에 의해 자동 조종이 되거나 원격으로 조종이 되는 비행기. 
무인도,사람이 살지 않는 섬.
무인점포,자동판매기를 갖추고 판매원 없이 음료수 등을 파는 가게.
무인지경,걸리거나 막히는 것이 없는 상태.
무일푼,가진 돈이 전혀 없음.
무임소,공통적인 업무 외에 따로 맡은 일이 없음.
무임승차,차비를 내지 않고 차를 탐.
무자격,어떤 일을 할 자격이 없음.
무자비,동정심이나 인정이 없어 마음씨가 몹시 쌀쌀하고 모짊.
무자식,아들이나 딸이 한 명도 없음.
무작위,아무런 조작 없이 일어날 수 있는 모든 일이 같은 확률로 일어나게 함.
무작정,앞으로의 일에 대해 미리 생각하거나 정한 것이 없음.
무장봉기,지배를 당하는 사람이 지배자에게 대항하여 무장을 하고 세차게 일어나는 일.
무저항,저항하지 않음.
무전기,무선으로 통신하는 데 쓰는 기계.
무절제,정도에 지나치지 않도록 알맞게 조절하여 제한하지 못함.
무정부주의,개인을 지배하는 정치 권력이나 공공의 강제를 부정하고 개인의 자유를 최고의 가치로 내세우는 사상.
무정형,정해진 형식이나 모양이 없음.
무조건,아무런 조건이 없음.
무조건적,아무런 조건이 없는 것. 또는 아무것도 따지지 않는 것.
무종교,아무 종교도 믿지 않거나 어떠한 종교에도 속하지 않음.
무주택,자기 소유의 집이 없음.
무주택자,자기 소유의 집이 없는 사람. 
무중력,중력이 없음. 또는 중력이 없거나 중력을 느낄 수 없는 상태.
무증상,병에 걸렸지만 아무런 증상이 없음.
무지개,"비가 그쳤을 때, 해의 반대쪽 하늘에 반원 모양으로 나타나는 일곱 가지 색깔의 빛줄기."
무지개떡,무지개처럼 층층이 여러 가지 색깔을 넣어서 만든 떡.
무지렁이,세상 물정을 잘 모르는 어리석은 사람.
무직자,직업이 없거나 일정한 직업을 가지지 않은 사람.
무진장,끝이 없을 정도로 매우 많음.
무질서,질서가 없음.
무차별,차이를 두어 구별하거나 가리지 않고 닥치는 대로 마구 함.
무채색,"흰색, 회색, 검정색과 같이 색의 밝기에만 차이가 있고 색의 선명한 정도에는 차이가 없는 색."
무책임,자신이 맡은 일이나 관계된 일에 대한 책임감이 없음.
무척추동물,척추가 없는 동물.
무표정,감정이 얼굴에 드러나지 않아 아무런 표정이 없음. 또는 그러한 얼굴.
무한궤도,"탱크, 장갑차, 불도저 등의 바퀴와 같이 둘레에 두꺼운 철판으로 된 벨트를 걸어 만든 바퀴."
무한대,끝이 없이 매우 넓거나 큼.
무한량,일정하게 정해진 양이 따로 없을 정도로 많음.
무한성,제한이나 한계가 없는 성질.
무한정,정해지거나 제한된 것이 없음.
무혐의,잘못을 하거나 죄를 지었다고 의심할 만한 점이 없다.
무협지,의리가 있고 정의로운 무술 실력 뛰어난 사람의 이야기를 주된 내용으로 하는 소설.
무호흡,숨 쉬는 것을 잠시 멈추거나 숨을 쉬지 않음.
무효화,무효가 됨. 또는 무효가 되게 함.
묵묵부답,물음에 아무 대답도 하지 않음.
묵비권,피고인이나 피의자가 심문을 받을 때 자기에게 불리한 진술을 하지 않을 수 있는 권리.
묵사발,묵을 담은 그릇.
묵사발,(속된 말로) 맞거나 공격을 당해서 심하게 망가지고 깨진 상태.
묵시적,말이나 행동으로 직접 드러내지 않고 남이 모르는 사이에 뜻을 나타내 보이는 것.
묵은지,오랫동안 숙성되어 푹 익은 김치.
묵은해,"새해에 상대하여, 지난해."
묵찌빠,(속되게 이르는 말로) 가위바위보.
묶음표,"다른 내용과 구별하기 위하여 단어, 문장 등의 앞뒤에 넣어 묶어 주는 문장 부호."
문간방,한국 전통 주택에서 대문 옆에 있는 작은 방.
문단속,사고가 없도록 문을 잘 닫아 잠그는 일.
문답식,서로 묻고 대답하는 방식.
문답식,학교 교육에서 학습자의 자기 활동을 중요시하여 질문과 대답을 중심으로 학습을 진행하는 방식.
문둥병,(낮잡아 이르는 말로) 나병.
문둥이,(낮잡아 이르는 말로) 나환자.
문둥이,(낮잡아 이르는 말로) 경상도 출신의 사람.
문맹률,배우지 못하여 글을 읽거나 쓸 줄 모르는 사람의 비율.
문맹자,배우지 못하여 글을 읽거나 쓸 줄을 모르는 사람.
문명국가,과학 기술이 발달하여 물질적으로 풍부하고 국민들의 의식과 문화 수준이 높은 나라.
문명사회,과학 기술이 발달하여 물질적으로 풍부하고 사람들의 의식과 문화 수준이 높은 사회.
문민정치,"군부 세력과 관계없는 일반 국민에 의한, 일반 국민을 위한 정치."
문방구,"노트, 연필 등 공부를 하거나 사무를 보는 데 필요한 도구."
문방사우,"문인들이 서재에서 쓰는 종이, 붓, 먹, 벼루의 네 가지 도구."
문병객,병에 걸리거나 다친 사람을 위로하러 찾아온 사람.
문상객,애도의 뜻을 나타내고 상주를 위로하러 초상집에 찾아온 사람.
문서함,문서를 넣어 보관하는 상자.
문설주,문짝을 달고 지탱할 수 있도록 문의 양쪽에 세운 기둥.
문어발,문어의 발.
문어발,(비유적으로) 기업이 가리지 않고 여러 가지 일을 마구 확장하여 벌임.
문어체,일상적인 대화가 아닌 글에서 쓰이는 문체.
문예반,학교에서 문예에 관심이 있는 학생들이 모여 문예를 배우고 그와 관련된 활동을 하는 모임.
문예지,"시, 소설, 평론 등과 같은 문예 작품이나 그와 관련된 글을 주로 싣는 잡지."
문장가,글을 짓는 실력이 뛰어난 사람.
문장력,글을 쓰는 능력.
문전걸식,이 집 저 집 돌아다니며 식량을 구걸해 얻어먹음.
문전성시,찾아오는 사람이 많아서 그곳의 문 앞이 마치 시장처럼 복잡하고 사람들로 북적댐.
문제아,"지능, 성격, 행동 등이 보통 아이들과 달리 문제가 되어 따로 지도와 교육이 필요한 아이."
문제작,화제나 주목을 불러일으킬 만한 작품.
문제점,문제가 되는 부분이나 요소.
문제지,문제가 적힌 종이.
문제집,배운 것을 연습하기 위해 학습 내용을 문제로 만들어 엮은 책.
문젯거리,문제가 될 만한 요소나 사건.
문지기,성이나 큰 집 등의 문을 지키는 사람.
문지기,축구나 하키 등과 같은 경기에서 골문을 지키는 사람.
문풍지,문틈 사이로 들어오는 바람을 막기 위해 문짝 가장자리를 빙 둘러 붙여 놓은 종이.
문필가,글을 짓는 일을 전문으로 하는 사람.
문하생,스승의 아래에서 가르침을 받는 제자.
문학가,문학을 창작하거나 연구하는 사람.
문학계,문학과 관련된 일을 하는 사람들의 활동 분야.
문화계,문화에 관련된 일을 하는 사람들의 활동 분야.
문화권,하나의 공통된 문화를 공유하는 지역.
문화부,"신문사나 방송국 등에서 문화, 예술과 관련된 기사를 다루는 부서."
문화비,국가 예산에서 문화나 예술의 발전을 위해 필요로 하는 비용.
문화비,"가정 내에서 여가, 오락 등의 문화생활을 즐기는 데 쓰는 비용."
문화사,문화의 역사와 발달 과정. 또는 그것을 연구하는 학문.
문화생활,문화와 관련된 활동을 하거나 즐기는 생활.
문화어,북한에서 언어생활의 기준으로 삼는 표준말.
문화용품,문화적 욕구를 충족하기 위한 여러 가지 물품.
문화원,각국 대사관들이 그 나라의 문화와 언어를 직접 접하고 배울 수 있도록 만든 공간.
문화유산,다음 세대에 계승·상속할 만한 가치를 지닌 문화적 산물.
문화유산,역사와 전통의 산물로서 겨레의 고유한 문화적 특성과 국민 생활의 변화를 이해하는 데 필요한 국가유산.
문화인,지적 수준이 높거나 교양이 있는 사람.
문화재,문화 활동으로 창조된 가치가 뛰어난 사물.
문화재,'국가유산'의 전 용어.
문화적,문화와 관련된 것.
물걸레,때나 얼룩을 지우기 위해 물을 적셔서 쓰는 천.
물고기,"물에서 사는, 아가미와 지느러미와 비늘이 있는 척추동물."
물고문,자백을 받아 내기 위해 물속에 얼굴을 넣거나 입과 코에 물을 붓는 고문.
물굽이,강물이 구부러져서 흐르는 곳.
물기둥,기둥처럼 높이 솟구쳐 오르거나 내리쏟아지는 굵은 물줄기.
물냉면,주로 메밀국수를 쇠고기 육수나 동치미 국물에 차갑게 말아 먹는 면.
물놀이,물에서 노는 일.
물동이,"물을 길어 담거나 보관해 두는, 배가 불룩하고 둥근 그릇."
물리력,어떤 일을 해결하기 위해 몸이나 무기 등을 사용하는 강제적인 힘.
물리적,물질의 원리에 기초한 것.
물리적,몸이나 무기 등의 힘을 사용하는 것.
물바가지,물을 푸고 담는 데 쓰는 바가지.
물방아,물의 힘으로 길쭉한 몽둥이가 오르내리며 곡식을 찧는 기구.
물보라,물결이 바위 등에 부딪쳐 흩어지면서 생기는 작은 물방울.
물비누,액체로 된 비누.
물비린내,물에서 나는 비릿한 냄새.
물사마귀,피부에 밥알만 한 크기로 불룩하게 생긴 군살.
물세탁,물로 빨래를 함.
물소리,물이 흐르거나 어디에 부딪칠 때 나는 소리.
물수제비,얇은 돌을 물 위에 조금씩 스치면서 지나가게 던졌을 때 돌이 튀기는 자리마다 생기는 물결 모양.
물시계,물이 일정한 속도로 떨어지는 것을 이용하여 시간을 재는 시계.
물심양면,물질적인 것과 정신적인 것의 두 면.
물싸움,손이나 발로 상대편의 몸에 물을 뿌리며 장난하는 놀이.
물안경,수영할 때 눈에 물이 들어가는 것을 막고 물속을 잘 보기 위해 쓰는 안경.
물웅덩이,물이 고여 있는 웅덩이.
물음표,의심이나 의문을 나타내거나 적절한 말을 쓰기 어렵거나 모르는 내용임을 나타낼 때 쓰는 문장 부호.
물장구,헤엄칠 때 두 발로 물 위를 잇따라 치는 일.
물장난,물을 가지고 장난을 하며 놂. 또는 물에서 하는 장난.
물장사,길에서 먹는 물을 파는 일. 또는 집으로 물을 가져다주어 파는 일.
물장사,"(속된 말로) 술, 음료수, 차 등을 파는 영업."
물줄기,좁은 구멍 같은 데에서 물이 내뻗쳐 나가는 줄기.
물지게,물을 길어 나르는 데 쓰는 지게.
물질문명,물질을 바탕으로 만들어진 문명.
물질문화,인간이 자연에 적응하며 살아가기 위하여 물질적으로 이루어 놓은 문화.
물질생활,재화를 쓰고 누리는 인간의 생활.
물질적,물질에 관련된 것.
물질주의,물질적인 것을 가장 중요하게 생각하는 경향.
물탱크,오랫동안 쓸 수 있을 만큼 많은 물을 담아 놓는 큰 통.
물파스,근육이나 관절 등의 통증을 없애기 위해 바르는 액체로 된 약.
뭇사람,많은 사람. 여러 사람.
뭉게구름,솜을 쌓아 놓은 것 같이 생긴 큰 구름.
뭉칫돈,액수가 큰 돈.
뭉텅이,한데 뭉친 큰 덩어리.
뮤지컬,"큰 무대에서 음악, 노래, 무용 등을 결합하여 상연하는, 줄거리가 있는 공연물."
미개인,문명이 발달되지 못한 사회의 사람.
미개지,아직 사람들에 의해 개척되지 않았거나 문명이 들어오지 않은 땅.
미개척,아직 개척하지 않음.
미개척지,아직 개척하지 못한 분야.
미관말직,지위가 아주 낮은 벼슬이나 직위. 또는 그런 위치에 있는 사람.
미관상,보기에 좋고 나쁨을 따져 판단하는 것.
미끄럼,미끄러운 곳에서 미끄러지는 것. 또는 그런 놀이.
미끄럼틀,미끄러져 내려올 수 있도록 비스듬하게 만들어 놓은 놀이기구.
미나리,축축한 땅에서 자라며 잎과 줄기에 독특한 향기가 있어서 나물 등의 재료로 사용되는 풀.
미니스커트,무릎 위로 올라오는 아주 짧은 길이의 치마.
미니카,장난감이나 장식용으로 작게 만든 자동차 모형.
미닫이,옆으로 밀어서 열고 닫는 문.
미닫이문,옆으로 밀어서 열고 닫는 문.
미들급,비슷한 몸무게의 선수끼리 겨루는 운동 경기에서 중간 정도 몸무게의 선수들이 출전하는 등급.
미등록,등록하지 않음.
미디어,정보를 전달하는 수단이 되는 문자나 영상.
미래상,그렇게 되면 좋겠다고 여겨지는 미래의 모습.
미래형,미래에 나타날 형태.
미래형,"문법에서, 미래 시제를 나타내는 단어나 표현의 형태."
미련퉁이,(낮잡아 이르는 말로) 매우 미련한 사람.
미망인,남편이 죽어서 홀로 남겨진 여자.
미봉책,잘못된 일을 근본적으로 해결하지 못하고 부분적으로만 임시로 해결하는 눈가림 대책.
미분양,아파트 등의 다세대형 주택이 정해진 양의 일부 또는 전부가 분양되지 않음. 또는 그런 집.
미분화,여러 다른 형태로 아직 나누어지지 않은 채로 있음.
미비점,제대로 갖추어져 있지 않은 부분.
미사여구,내용은 별로 없이 아름다운 말로 그럴듯하게 꾸민 글귀.
미사일,"로켓이나 제트 엔진 등으로 움직이며, 유도 장치에 의해 목표물에 닿아 폭발하도록 만든 공격 무기."
미생물학,미생물에 대해서 연구하는 학문.
미성년,법적으로 아직 성인이 되지 않은 나이.
미성년자,아직 성년이 되지 않은 사람.
미성숙,"정신적, 육체적으로 아직 다 자라지 못함. 또는 경험이 충분하지 못하여 어떤 것에 익숙하지 못한 상태."
미세스,→ 미시즈
미소년,얼굴이 예쁜 소년.
미수금,아직 다 거두어들이지 못한 돈.
미수죄,"법률에서, 범죄를 저지르려고 했다가 이루지 못했을 때, 범죄를 저지르려고 했다는 사실만으로도 성립하는 범죄."
미숙련,어떤 기술이나 일을 아직 능숙하게 익히지 못함.
미숙성,어떤 일에 익숙하지 못하고 서투른 성질.
미숙아,임신한 지 37주 미만에 태어나 정상적인 크기만큼 충분히 자라지 못한 아기.
미술가,"그림, 조각, 공예 등의 미술품을 전문적으로 창작하는 사람."
미술관,미술품을 전시하여 사람들이 볼 수 있게 만든 장소.
미술사,미술이 발달해 온 역사. 또는 그 역사를 연구하는 학문.
미술품,"그림, 조각, 공예 등의 미술 작품."
미숫가루,"찹쌀, 멥쌀, 보리쌀 등을 찌거나 볶은 다음 가루를 내어 물에 타 먹을 수 있게 만든 먹을거리."
미스터리,범죄 사건을 추리하여 해결하는 과정을 다루는 소설.
미시적,어떤 사물이나 현상을 개별이나 부분으로 작게 나누어 생각하는 것.
미시족,"결혼을 했으나, 차림새나 행동 등이 결혼하지 않은 것처럼 보이는 여성들."
미시즈,결혼한 여자의 성 앞에 붙이는 호칭 또는 지칭.
미식가,맛있고 좋은 음식을 찾아 먹는 것을 즐기는 사람.
미식축구,"미국에서 발달한, 럭비와 축구를 한데 합한 운동 경기."
미신고,관련 기관 등에 어떤 사실을 아직 보고하지 않음.
미신적,과학적이고 합리적인 근거가 없는 것을 의심 없이 믿는 것.
미얀마,"동남아시아의 인도차이나반도 서쪽에 있는 나라. 옛 이름은 버마이며 주요 생산물로는 벼, 코발트 등이 있다. 공용어는 미얀마어이고 수도는 네피도이다."
미역국,미역을 넣어서 끓인 국.
미온적,태도가 소극적인 것.
미완성,아직 덜 됨.
미용사,다른 사람의 머리를 다듬거나 피부를 가꾸는 일을 직업으로 하는 사람.
미운털,어떤 사람에 대해 안 좋은 선입관이 있어 어떤 짓을 하여도 밉게 보이는 것.
미의식,아름다움을 느끼고 판단하는 감정이나 견해.
미인계,어떤 목적을 이루기 위해 예쁜 여자를 이용하여 남자를 꾀는 방법.
미인박명,아름다운 여자는 불행하거나 몸이 약하여 젊은 나이에 죽는 경우가 많음.
미장이,"건축 공사에서 벽, 천장, 바닥에 흙이나 시멘트를 바르는 일을 직업으로 하는 사람."
미증유,지금까지 한 번도 있어 본 적이 없음.
미지급,이미 주도록 약속한 돈이나 물건을 아직 주지 않음.
미지수,"수학에서, 아직 값이 밝혀지지 않은 수."
미지수,어떻게 될지 예상하기 어려운 일.
미취학,아이가 아직 학교에 들어가지 못함.
미치광이,(낮잡아 이르는 말로) 정신에 이상이 생겨 말과 행동이 보통 사람과 다른 사람. 미친 사람.
미친놈,(욕하는 말로) 정신에 이상이 생겨 말과 행동이 보통 사람과 다른 사람. 미친 사람.
미터기,"전기, 수도, 가스 등의 소비량을 자동으로 표시하는 기계."
미투리,삼나무의 껍질로 엮어 짚신처럼 만든 신.
미풍양속,옛날부터 그 사회에 전해 오는 아름답고 좋은 습관.
미학적,미학을 중심으로 하는 것.
미혼모,결혼을 하지 않은 상태에서 낳은 아이를 혼자 키우는 여자. 
미혼자,아직 결혼을 하지 않은 사람.
미화원,청소하는 일을 직업으로 가지고 있는 사람.
미확인,아직 확인되지 않음.
미확정,아직 확실하게 정해지지 않음.
민간기,정부나 군대가 아닌 일반인이 소유한 비행기.
민간단체,국가 기관에 속하지 않는 일반인들로 이루어진 단체.
민간요법,예로부터 민간에 전해져 내려오는 치료 방법.
민간용,군사용이 아닌 일반 사람들이 사용하는 것.
민감성,어떤 자극에 대한 반응이 매우 날카롭고 빠른 성질.
민둥산,나무가 없는 산.
민들레,이른 봄에 노란 꽃을 피우며 흰 털이 있는 씨를 바람에 날려 멀리 퍼지는 여러해살이 식물.
민무늬,무늬가 없는 것.
민물고기,바다가 아닌 강이나 호수 등에 사는 물고기.
민물낚시,바다가 아닌 강이나 호수 등에서 물고기를 잡는 일.
민방위,자연재해나 전쟁으로 인한 피해를 막기 위해 정부 기관이나 군인이 아닌 일반인들이 중심이 되어 조직적으로 벌이는 활동.
민생고,국민이 생활하는 데 겪는 어려움이나 고통.
민소매,소매가 없는 옷.
민속자료,"생활용품, 가옥, 음악 등 한 민족의 생활 양식과 풍속, 정서에 맞게 만들어져 전해 내려오는 다양한 유형의 자료."
민속촌,예부터 전해 내려오는 고유한 생활 양식이 남아 있는 마을.
민속촌,예부터 전해 내려오는 고유한 생활 양식을 사람들에게 보여 주고 체험하게 하기 위하여 그대로 본떠 만든 마을.
민속춤,일반인들의 생활 속에서 생겨난 풍속과 정서에 따라 행해지고 전해 내려오는 춤.
민속학,예부터 전해 내려오는 민족의 생활 양식이나 풍속을 연구하는 학문.
민속화,한 민족의 일상생활이나 풍속을 그린 그림.
민얼굴,화장을 하지 않은 얼굴.
민영화,국가가 운영하던 기관이나 기업을 민간인이 운영하게 함.
민원실,관청에서 주민들이 요구하는 민원 업무를 담당하는 부서.
민원인,행정 기관에 민원을 처리해 달라고 요구하는 개인 또는 단체.
민족사,한 민족의 역사.
민족성,한 민족이 공통적으로 지니고 있는 특성.
민족어,한 민족이 공통적으로 사용하는 고유한 언어.
민족의상,한 민족이 옛날에 입었거나 대대로 입어 온 전통 의상.
민족의식,자기 민족에 대한 소속감과 중요성을 깨닫고 민족의 단결과 발전을 이루려는 의지나 감정.
민족적,민족 전체와 관계되는 것.
민족정신,한 민족이 공유하는 일체감이나 고유한 정신.
민족주의,"민족의 독립과 통일을 통해 민족을 중심으로 한 정치, 문화, 경제의 발전을 이룩하고자 하는 사상."
민주적,집단이나 단체에 속한 모든 사람이 평등한 권리와 자유를 지니는 것.
민주주의,주권이 국민에게 있고 국민을 위한 정치를 지향하는 사상.
민중가요,민중에 의해 불리는 노래.
민중적,민중을 중심으로 하거나 민중에 의한 것.
민첩성,"동작, 행동, 판단 등이 재빠르고 날쌘 성질."
밀가루,밀을 빻아 만든 가루.
밀기울,밀을 빻아 체에 걸러 가루를 만들고 남은 찌꺼기.
밀무역,나라의 허가를 받지 않고 불법으로 몰래 무역함. 또는 그런 무역.
밀반입,물건 등을 불법으로 몰래 들여옴.
밀반출,물건 등을 불법으로 몰래 내감.
밀수업자,법적인 허가 없이 국경을 넘어 몰래 물건을 사고 파는 일이 직업인 사람.
밀수품,법적인 허가 없이 국경을 넘어 몰래 사고 파는 물건.
밀월여행,결혼식을 마치고 신혼부부가 함께 가는 여행.
밀입국,국가의 허가를 받지 않고 몰래 그 나라에 들어옴.
밀입국자,국가의 허가를 받지 않고 몰래 그 나라에 들어온 사람.
밀전병,밀가루 반죽을 동그랗고 얇게 만들어 기름에 부친 음식.
밀짚모자,밀짚이나 보리의 짚으로 만든 챙이 넓은 모자.
밀착형,서로의 관계가 매우 가까운 형태.
밀크셰이크,"우유에 달걀, 설탕, 시럽 등을 넣고 거품이 생길 때까지 기계로 마구 저어 만든 음료."
밀항자,국가의 허가를 받지 않거나 운송료를 내지 않고 배나 비행기로 몰래 외국을 오가는 사람.
밑거름,어떤 일을 이루는 데 기초가 되는 요소.
밑구멍,물건의 아랫부분에 뚫린 구멍.
밑그림,만화 등의 상업용 미술에서 소유권이나 캐릭터가 없는 단순한 그림.
밑그림,수를 놓기 위해 종이나 헝겊에 그린 그림.
밑그림,나중에 자세하게 그리기 위해 시험적으로 대충 그린 그림.
밑바탕,사물이나 현상이 이루어지는 근본.
밑반찬,만들어 놓으면 오래 보관할 수 있고 손쉽게 바로 먹을 수 있는 반찬.
밑받침,(비유적으로) 어떤 일이나 현상이 이루어지는 바탕.
밑부분,사물의 아래쪽에 해당되는 부분.
밑뿌리,아랫부분에 있는 뿌리.
밑뿌리,(비유적으로) 어떤 현상이나 사물의 바탕이나 기초.
바가지,"박을 반으로 쪼개거나 플라스틱 등으로 이와 비슷하게 만들어 액체, 곡물, 가루 등을 푸거나 담는 데 쓰는 둥근 모양의 그릇."
바가지,"액체, 곡물, 가루 등을 바가지에 담아 그 분량을 세는 단위."
바가지요금,제값보다 훨씬 비싼 요금.
바겐세일,일정 기간 동안 특별히 물건을 싸게 파는 일.
바깥양반,아내가 남편을 이르는 말.
바깥일,직장에서 하는 일.
바깥일,집 밖에서 일어나는 세상의 일.
바깥일,집 밖에서 하는 일.
바깥쪽,바깥으로 향하는 쪽.
바깥채,"한 집 안에 안팎 두 채 이상의 집이 있을 때, 바깥에 있는 집채."
바께쓰,한 손으로 들 수 있게 손잡이를 단 통.
바나나,길고 굽은 모양으로 껍질이 노랗고 잘 벗겨지며 흰 살이 달고 부드러운 열대 과일.
바느질감,바느질할 옷이나 천.
바느질거리,바느질할 옷이나 천.
바늘구멍,바늘로 뚫은 작은 구멍.
바늘구멍,실을 꿰기 위하여 바늘 끝에 뚫은 작은 구멍.
바늘구멍,(비유적으로) 아주 작은 구멍.
